subject,exam_board,level,title,parent_title,order_index
Business,AQA,1,What is business?,,1
Business,AQA,2,Understanding the nature and purpose of business,What is business?,1
Business,AQA,3,Purpose and Objectives of Business,Understanding the nature and purpose of business,1
Business,AQA,3,Mission Statements and Setting Objectives,Understanding the nature and purpose of business,2
Business,AQA,3,Measuring and Understanding Profit,Understanding the nature and purpose of business,3
Business,AQA,2,Understanding different business forms,What is business?,2
Business,AQA,3,Sole Traders and Limited Companies,Understanding different business forms,1
Business,AQA,3,"Private, Public, and Non-Profit Organisations",Understanding different business forms,2
Business,AQA,3,"Liability, Shares, and Dividends",Understanding different business forms,3
Business,AQA,3,Shareholders and Share Price,Understanding different business forms,4
Business,AQA,3,Effects of Ownership on Mission,Understanding different business forms,5
Business,AQA,2,Understanding the external environment,What is business?,3
Business,AQA,3,Impact of the External Environment on Costs and Demand,Understanding the external environment,1
Business,AQA,1,"Managers, leadership and decision making",,2
Business,AQA,2,"Understanding management, leadership and decision making","Managers, leadership and decision making",1
Business,AQA,3,Management vs. Leadership,"Understanding management, leadership and decision making",1
Business,AQA,3,Leadership Styles,"Understanding management, leadership and decision making",2
Business,AQA,3,The Tannenbaum Schmidt Continuum and Leadership,"Understanding management, leadership and decision making",3
Business,AQA,2,Understanding management decision making,"Managers, leadership and decision making",2
Business,AQA,3,Scientific vs. Intuitive Decision Making,Understanding management decision making,1
Business,AQA,3,Using Decision Trees,Understanding management decision making,2
Business,AQA,3,Key Influences on Decision Making,Understanding management decision making,3
Business,AQA,2,Understanding the role and importance of stakeholders,"Managers, leadership and decision making",3
Business,AQA,3,Identifying Stakeholder Needs and Conflicts,Understanding the role and importance of stakeholders,1
Business,AQA,3,Stakeholder Mapping and Management,Understanding the role and importance of stakeholders,2
Business,AQA,1,Marketing management,,3
Business,AQA,2,Setting marketing objectives,Marketing management,1
Business,AQA,3,The Value and Types of Marketing Objectives,Setting marketing objectives,1
Business,AQA,2,Understanding markets and customers,Marketing management,2
Business,AQA,3,Primary and Secondary Market Research,Understanding markets and customers,1
Business,AQA,3,Sampling Methods,Understanding markets and customers,2
Business,AQA,3,Interpreting Marketing Data,Understanding markets and customers,3
Business,AQA,3,Price and Income Elasticity of Demand,Understanding markets and customers,4
Business,AQA,3,Using Data in Marketing Decisions,Understanding markets and customers,5
Business,AQA,2,"Making marketing decisions: segmentation, targeting, positioning",Marketing management,3
Business,AQA,3,"Segmentation, Targeting, and Positioning (STP)","Making marketing decisions: segmentation, targeting, positioning",1
Business,AQA,3,Choosing a Target Market and Positioning,"Making marketing decisions: segmentation, targeting, positioning",2
