subject,exam_board,level,title,parent_title,order_index
Business,Edexcel,1,Marketing and people,,1
Business,Edexcel,2,Understanding and Meeting Customer Needs,Marketing and people,1
Business,Edexcel,3,Mass vs. Niche Markets,Understanding and Meeting Customer Needs,1
Business,Edexcel,3,Dynamic Markets,Understanding and Meeting Customer Needs,2
Business,Edexcel,3,"Competition, Risk and Uncertainty",Understanding and Meeting Customer Needs,3
Business,Edexcel,3,Market Orientation and Research,Understanding and Meeting Customer Needs,4
Business,Edexcel,3,Applying Market Research,Understanding and Meeting Customer Needs,5
Business,Edexcel,3,Competitive Positioning and Advantage,Understanding and Meeting Customer Needs,6
Business,Edexcel,2,Analysing the Market,Marketing and people,2
Business,Edexcel,3,Factors Affecting Demand,Analysing the Market,1
Business,Edexcel,3,Factors Affecting Supply,Analysing the Market,2
Business,Edexcel,3,Supply and Demand Interaction,Analysing the Market,3
Business,Edexcel,3,Price Elasticity of Demand (PED),Analysing the Market,4
Business,Edexcel,3,Income Elasticity of Demand (YED),Analysing the Market,5
Business,Edexcel,2,Developing the Marketing Mix and Strategy,Marketing and people,3
Business,Edexcel,3,The Design Mix and Social Trends,Developing the Marketing Mix and Strategy,1
Business,Edexcel,3,Branding and Promotion,Developing the Marketing Mix and Strategy,2
Business,Edexcel,3,Building a Brand and Social Trends,Developing the Marketing Mix and Strategy,3
Business,Edexcel,3,Pricing Strategies and Social Trends,Developing the Marketing Mix and Strategy,4
Business,Edexcel,3,Distribution Channels and Trends,Developing the Marketing Mix and Strategy,5
Business,Edexcel,3,Product Portfolio Management,Developing the Marketing Mix and Strategy,6
Business,Edexcel,3,Marketing Strategies and Customer Loyalty,Developing the Marketing Mix and Strategy,7
Business,Edexcel,2,Managing Human Resources,Marketing and people,4
Business,Edexcel,3,Approaches to Staffing and Employee Relations,Managing Human Resources,1
Business,Edexcel,3,"Recruitment, Selection, and Training",Managing Human Resources,2
Business,Edexcel,3,Organisational Structures,Managing Human Resources,3
Business,Edexcel,3,Theories of Motivation,Managing Human Resources,4
Business,Edexcel,3,Methods of Motivation,Managing Human Resources,5
Business,Edexcel,3,Leadership Styles,Managing Human Resources,6
Business,Edexcel,2,Exploring Entrepreneurs and Leaders,Marketing and people,5
Business,Edexcel,3,"The Entrepreneurial Role, Risks, and Barriers",Exploring Entrepreneurs and Leaders,1
Business,Edexcel,3,Entrepreneurial Characteristics and Motives,Exploring Entrepreneurs and Leaders,2
Business,Edexcel,3,Business Objectives,Exploring Entrepreneurs and Leaders,3
Business,Edexcel,3,Forms of Business Ownership,Exploring Entrepreneurs and Leaders,4
Business,Edexcel,3,Opportunity Cost and Trade-Offs,Exploring Entrepreneurs and Leaders,5
Business,Edexcel,3,Developing from an Entrepreneur to a Leader,Exploring Entrepreneurs and Leaders,6
Business,Edexcel,1,Managing business activities,,2
Business,Edexcel,2,Methods of Raising Finance,Managing business activities,1
Business,Edexcel,3,Internal Sources of Finance,Methods of Raising Finance,1
Business,Edexcel,3,External Sources and Methods of Finance,Methods of Raising Finance,2
Business,Edexcel,3,"Liability, Business Plans and Appropriate Finance",Methods of Raising Finance,3
Business,Edexcel,3,Cash-Flow Forecasting,Methods of Raising Finance,4
Business,Edexcel,2,Techniques of Financial Planning,Managing business activities,2
Business,Edexcel,3,Sales Forecasting,Techniques of Financial Planning,1
Business,Edexcel,3,"Calculating Sales, Revenue and Costs",Techniques of Financial Planning,2
Business,Edexcel,3,Break-Even Analysis,Techniques of Financial Planning,3
Business,Edexcel,3,Budgeting and Variance Analysis,Techniques of Financial Planning,4
Business,Edexcel,2,Managing Company Finances,Managing business activities,3
Business,Edexcel,3,"Profit, Profitability, and Cash",Managing Company Finances,1
Business,Edexcel,3,Liquidity and Working Capital,Managing Company Finances,2
