subject,exam_board,level,title,parent_title,order_index
Chemistry,AQA,1,Physical chemistry,,1
Chemistry,AQA,2,Understanding Atomic Structure,Physical chemistry,1
Chemistry,AQA,3,Atomic Structure and Isotopes,Understanding Atomic Structure,1
Chemistry,AQA,3,Time-of-Flight Mass Spectrometry,Understanding Atomic Structure,2
Chemistry,AQA,3,Electron Configuration,Understanding Atomic Structure,3
Chemistry,AQA,3,Ionisation Energies,Understanding Atomic Structure,4
Chemistry,AQA,2,Understanding Amount of Substance,Physical chemistry,2
Chemistry,AQA,3,The Mole and Concentration,Understanding Amount of Substance,1
Chemistry,AQA,3,The Ideal Gas Equation,Understanding Amount of Substance,2
Chemistry,AQA,3,Empirical and Molecular Formulae,Understanding Amount of Substance,3
Chemistry,AQA,3,Stoichiometric Calculations,Understanding Amount of Substance,4
Chemistry,AQA,3,Required Practical 1: Volumetric Analysis,Understanding Amount of Substance,5
Chemistry,AQA,2,Understanding Bonding,Physical chemistry,3
Chemistry,AQA,3,Ionic and Metallic Bonding,Understanding Bonding,1
Chemistry,AQA,3,Covalent and Dative Covalent Bonding,Understanding Bonding,2
Chemistry,AQA,3,Crystal Structures,Understanding Bonding,3
Chemistry,AQA,3,Shapes of Molecules (VSEPR),Understanding Bonding,4
Chemistry,AQA,3,Electronegativity and Bond Polarity,Understanding Bonding,5
Chemistry,AQA,3,Intermolecular Forces,Understanding Bonding,6
Chemistry,AQA,2,Understanding Energetics,Physical chemistry,4
Chemistry,AQA,3,Enthalpy Change Definitions,Understanding Energetics,1
Chemistry,AQA,3,Calorimetry and Practical Measurement,Understanding Energetics,2
Chemistry,AQA,3,Hess’s Law,Understanding Energetics,3
Chemistry,AQA,3,Bond Enthalpies,Understanding Energetics,4
Chemistry,AQA,2,Understanding Kinetics,Physical chemistry,5
Chemistry,AQA,3,Collision Theory and Maxwell–Boltzmann Distribution,Understanding Kinetics,1
Chemistry,AQA,3,Effect of Temperature and Practical Investigation,Understanding Kinetics,2
Chemistry,AQA,3,Effect of Concentration and Pressure,Understanding Kinetics,3
Chemistry,AQA,3,Catalysts,Understanding Kinetics,4
Chemistry,AQA,2,"Understanding Chemical Equilibria, Le Chatelier’s Principle and Kc",Physical chemistry,6
Chemistry,AQA,3,Chemical Equilibria and Le Chatelier’s Principle,"Understanding Chemical Equilibria, Le Chatelier’s Principle and Kc",1
Chemistry,AQA,3,"The Equilibrium Constant, Kc","Understanding Chemical Equilibria, Le Chatelier’s Principle and Kc",2
Chemistry,AQA,2,"Understanding Oxidation, Reduction and Redox Equations",Physical chemistry,7
Chemistry,AQA,3,"Oxidation, Reduction and Redox Equations","Understanding Oxidation, Reduction and Redox Equations",1
Chemistry,AQA,2,Understanding Thermodynamics,Physical chemistry,8
Chemistry,AQA,3,Born–Haber Cycles and Lattice Enthalpy,Understanding Thermodynamics,1
Chemistry,AQA,3,Solution and Hydration Enthalpies,Understanding Thermodynamics,2
Chemistry,AQA,3,"Entropy, Gibbs Free Energy and Feasibility",Understanding Thermodynamics,3
Chemistry,AQA,2,Understanding Rate Equations,Physical chemistry,9
Chemistry,AQA,3,Rate Equations and Order of Reaction,Understanding Rate Equations,1
Chemistry,AQA,3,Determining Rate Equations Experimentally,Understanding Rate Equations,2
Chemistry,AQA,3,The Arrhenius Equation and Temperature Effect,Understanding Rate Equations,3
Chemistry,AQA,3,Required Practical 7: Measuring Reaction Rates,Understanding Rate Equations,4
Chemistry,AQA,2,Understanding the Equilibrium Constant Kp,Physical chemistry,10
Chemistry,AQA,3,"The Equilibrium Constant, Kp",Understanding the Equilibrium Constant Kp,1
Chemistry,AQA,2,Understanding Electrode Potentials and Electrochemical Cells,Physical chemistry,11
Chemistry,AQA,3,Standard Electrode Potentials and EMF,Understanding Electrode Potentials and Electrochemical Cells,1
Chemistry,AQA,3,Commercial Cells and Fuel Cells,Understanding Electrode Potentials and Electrochemical Cells,2
Chemistry,AQA,3,Required Practical 8: Measuring the EMF of an Electrochemical Cell,Understanding Electrode Potentials and Electrochemical Cells,3
Chemistry,AQA,2,Understanding Acids and Bases,Physical chemistry,12
Chemistry,AQA,3,"Acids, Bases and pH",Understanding Acids and Bases,1
