subject,exam_board,level,title,parent_title,order_index
Chemistry,Edexcel,1,Atomic Structure and the Periodic Table,,1
Chemistry,Edexcel,2,Atomic Structure and Isotopes,Atomic Structure and the Periodic Table,1
Chemistry,Edexcel,3,Fundamental Particles,Atomic Structure and Isotopes,1
Chemistry,Edexcel,3,Calculating Particles and Isotopes,Atomic Structure and Isotopes,2
Chemistry,Edexcel,2,Relative Mass and Mass Spectrometry,Atomic Structure and the Periodic Table,2
Chemistry,Edexcel,3,Relative Masses,Relative Mass and Mass Spectrometry,1
Chemistry,Edexcel,3,Mass Spectrometry: RAM and RMM,Relative Mass and Mass Spectrometry,2
Chemistry,Edexcel,3,Mass Spectra of Diatomic Molecules,Relative Mass and Mass Spectrometry,3
Chemistry,Edexcel,2,Ionisation Energy,Atomic Structure and the Periodic Table,3
Chemistry,Edexcel,3,Ionisation Energy: Definitions and Factors,Ionisation Energy,1
Chemistry,Edexcel,3,Trends in First Ionisation Energy,Ionisation Energy,2
Chemistry,Edexcel,3,Evidence for Electronic Structure,Ionisation Energy,3
Chemistry,Edexcel,2,Electronic Configuration,Atomic Structure and the Periodic Table,4
Chemistry,Edexcel,3,Quantum Shells and Orbitals,Electronic Configuration,1
Chemistry,Edexcel,3,Writing Electronic Configurations,Electronic Configuration,2
Chemistry,Edexcel,2,Periodicity and Periodic Trends,Atomic Structure and the Periodic Table,5
Chemistry,Edexcel,3,Classifying Elements and Periodicity,Periodicity and Periodic Trends,1
Chemistry,Edexcel,3,Periodic Trends,Periodicity and Periodic Trends,2
Chemistry,Edexcel,1,Bonding and Structure,,2
Chemistry,Edexcel,2,Ionic Bonding,Bonding and Structure,1
Chemistry,Edexcel,3,Ionic Bonding,Ionic Bonding,1
Chemistry,Edexcel,3,Ionic Diagrams and Radii,Ionic Bonding,2
Chemistry,Edexcel,2,Covalent Bonding,Bonding and Structure,2
Chemistry,Edexcel,3,Evidence for Ions and Covalent Bonding,Covalent Bonding,1
Chemistry,Edexcel,3,Representing Covalent Bonds,Covalent Bonding,2
Chemistry,Edexcel,2,Molecular Shapes (VSEPR),Bonding and Structure,3
Chemistry,Edexcel,3,Shapes of Molecules (VSEPR),Molecular Shapes (VSEPR),1
Chemistry,Edexcel,3,Predicting Molecular Shapes,Molecular Shapes (VSEPR),2
Chemistry,Edexcel,2,Electronegativity and Polarity,Bonding and Structure,4
Chemistry,Edexcel,3,Electronegativity and Bond Polarity,Electronegativity and Polarity,1
