subject,exam_board,level,title,parent_title,order_index
Computer Science,AQA,1,Fundamentals of programming,,1
Computer Science,AQA,2,Programming,Fundamentals of programming,1
Computer Science,AQA,3,Introduction to Data Types,Programming,1
Computer Science,AQA,3,Composite and User-Defined Types,Programming,2
Computer Science,AQA,3,"Variables, Constants, and Declarations",Programming,3
Computer Science,AQA,3,Iteration and Nested Structures,Programming,4
Computer Science,AQA,3,Arithmetic and Relational Operations,Programming,5
Computer Science,AQA,3,Boolean and String Operations,Programming,6
Computer Science,AQA,3,String Conversions and Other Techniques,Programming,7
Computer Science,AQA,3,Introduction to Subroutines,Programming,8
Computer Science,AQA,3,Subroutine Parameters and Return Values,Programming,9
Computer Science,AQA,3,Local and Global Variables,Programming,10
Computer Science,AQA,3,Subroutine Calls and the Stack,Programming,11
Computer Science,AQA,3,Recursive Techniques,Programming,12
Computer Science,AQA,2,Programming paradigms,Fundamentals of programming,2
Computer Science,AQA,3,Introduction to Programming Paradigms,Programming paradigms,1
Computer Science,AQA,3,Procedural Programming,Programming paradigms,2
Computer Science,AQA,3,Core OOP Concepts,Programming paradigms,3
Computer Science,AQA,3,OOP Fundamentals and Design Principles,Programming paradigms,4
Computer Science,AQA,3,Practical OOP and Class Diagrams,Programming paradigms,5
Computer Science,AQA,1,Fundamentals of data structures,,2
Computer Science,AQA,2,Data structures and abstract data types,Fundamentals of data structures,1
Computer Science,AQA,3,Introduction to Data Structures and Arrays,Data structures and abstract data types,1
Computer Science,AQA,3,File Handling,Data structures and abstract data types,2
Computer Science,AQA,3,Overview of Abstract Data Types (ADTs),Data structures and abstract data types,3
Computer Science,AQA,3,Static vs Dynamic Data Structures,Data structures and abstract data types,4
Computer Science,AQA,3,"Implementing Queues, Stacks, and Hash Table",Data structures and abstract data types,5
Computer Science,AQA,2,Queues,Fundamentals of data structures,2
Computer Science,AQA,3,Queue Operations,Queues,1
Computer Science,AQA,2,Stacks,Fundamentals of data structures,3
Computer Science,AQA,3,Stack Operations,Stacks,1
Computer Science,AQA,2,Graphs,Fundamentals of data structures,4
Computer Science,AQA,3,Graph Fundamentals and Terminology,Graphs,1
Computer Science,AQA,3,Representing Graphs,Graphs,2
Computer Science,AQA,2,Trees,Fundamentals of data structures,5
Computer Science,AQA,3,Tree Concepts,Trees,1
Computer Science,AQA,2,Hash tables,Fundamentals of data structures,6
Computer Science,AQA,3,Hash Tables and Collision Handling,Hash tables,1
Computer Science,AQA,2,Dictionaries,Fundamentals of data structures,7
Computer Science,AQA,3,Dictionary Concepts and Applications,Dictionaries,1
Computer Science,AQA,2,Vectors,Fundamentals of data structures,8
Computer Science,AQA,3,Vector Concepts and Notation,Vectors,1
Computer Science,AQA,3,Vector Representation in Programming,Vectors,2
Computer Science,AQA,3,Vector Operations,Vectors,3
Computer Science,AQA,1,Fundamentals of algorithms,,3
Computer Science,AQA,2,Graph-traversal,Fundamentals of algorithms,1
Computer Science,AQA,3,Graph-Traversal Algorithms,Graph-traversal,1
Computer Science,AQA,2,Tree-traversal,Fundamentals of algorithms,2
Computer Science,AQA,3,Tree Traversal Algorithms and Their Uses,Tree-traversal,1
Computer Science,AQA,2,Reverse Polish,Fundamentals of algorithms,3
Computer Science,AQA,3,Reverse Polish Notation (RPN),Reverse Polish,1
Computer Science,AQA,2,Searching algorithms,Fundamentals of algorithms,4
Computer Science,AQA,3,Linear and Binary Search,Searching algorithms,1
Computer Science,AQA,3,Binary Tree Search,Searching algorithms,2
Computer Science,AQA,2,Sorting algorithms,Fundamentals of algorithms,5
Computer Science,AQA,3,Bubble Sort and Merge Sort,Sorting algorithms,1
Computer Science,AQA,2,Optimisation algorithms,Fundamentals of algorithms,6
Computer Science,AQA,3,Dijkstra's Shortest Path Algorithm,Optimisation algorithms,1
Computer Science,AQA,1,Theory of computation,,4
Computer Science,AQA,2,Abstraction and automation,Theory of computation,1
Computer Science,AQA,3,Algorithms and Problem Solving,Abstraction and automation,1
Computer Science,AQA,3,Implementing and Evaluating Algorithms,Abstraction and automation,2
Computer Science,AQA,3,Abstraction and Information Hiding,Abstraction and automation,3
Computer Science,AQA,3,Types of Abstraction,Abstraction and automation,4
Computer Science,AQA,3,Decomposition and Problem Reduction,Abstraction and automation,5
Computer Science,AQA,3,Automation,Abstraction and automation,6
Computer Science,AQA,2,Regular languages,Theory of computation,2
Computer Science,AQA,3,Finite State Machines,Regular languages,1
Computer Science,AQA,3,Set Theory Basics,Regular languages,2
Computer Science,AQA,3,Advanced Set Theory and Operations,Regular languages,3
Computer Science,AQA,3,Introduction to Regular Expressions and Languages,Regular languages,4
Computer Science,AQA,3,Using Regular Expressions,Regular languages,5
Computer Science,AQA,3,Relating Regular Expressions and FSMs,Regular languages,6
Computer Science,AQA,2,Context-free languages,Theory of computation,3
Computer Science,AQA,3,BNF and Syntax Diagrams,Context-free languages,1
Computer Science,AQA,2,Classification of algorithms,Theory of computation,4
Computer Science,AQA,3,Comparing Algorithm Efficiency,Classification of algorithms,1
Computer Science,AQA,3,Mathematical Foundations for Big-O,Classification of algorithms,2
Computer Science,AQA,3,Order of Complexity (Big-O Notation),Classification of algorithms,3
Computer Science,AQA,3,Deriving Time Complexity,Classification of algorithms,4
Computer Science,AQA,3,Limits of Computation,Classification of algorithms,5
Computer Science,AQA,3,Tractable and Intractable Problems,Classification of algorithms,6
Computer Science,AQA,3,The Halting Problem,Classification of algorithms,7
Computer Science,AQA,2,A model of computation,Theory of computation,5
Computer Science,AQA,3,Introduction to Turing Machines,A model of computation,1
Computer Science,AQA,3,Turing Machine Operations,A model of computation,2
Computer Science,AQA,3,The Importance of Turing Machines,A model of computation,3
Computer Science,AQA,1,Fundamentals of data representation,,5
Computer Science,AQA,2,Number systems,Fundamentals of data representation,1
Computer Science,AQA,3,Number System Concepts,Number systems,1
Computer Science,AQA,3,Applications of Number Systems,Number systems,2
Computer Science,AQA,2,Number bases,Fundamentals of data representation,2
Computer Science,AQA,3,Number Bases and Conversions,Number bases,1
Computer Science,AQA,2,Units of information,Fundamentals of data representation,3
Computer Science,AQA,3,"Bits, Bytes and Prefixes",Units of information,1
Computer Science,AQA,3,Binary and Decimal Prefixes,Units of information,2
Computer Science,AQA,2,Binary number system,Fundamentals of data representation,4
Computer Science,AQA,3,Unsigned Binary and Arithmetic,Binary number system,1
Computer Science,AQA,3,Two's Complement Representation and Arithmetic,Binary number system,2
Computer Science,AQA,3,Fixed-Point and Floating-Point Representation,Binary number system,3
