subject,exam_board,level,title,parent_title,order_index
Economics,Edexcel,1,Theme 1: Introduction to markets and market failure,,1
Economics,Edexcel,2,The Nature of Economics,Theme 1: Introduction to markets and market failure,1
Economics,Edexcel,3,The Economic Method,The Nature of Economics,1
Economics,Edexcel,3,Positive and Normative Statements,The Nature of Economics,2
Economics,Edexcel,3,The Fundamental Economic Problem,The Nature of Economics,3
Economics,Edexcel,3,Introduction to Production Possibility Frontiers (PF),The Nature of Economics,4
Economics,Edexcel,3,Analysing PPFs,The Nature of Economics,5
Economics,Edexcel,3,Specialisation and the Division of Labour,The Nature of Economics,6
Economics,Edexcel,3,"Specialisation, Trade, and Money",The Nature of Economics,7
Economics,Edexcel,3,Types of Economic Systems,The Nature of Economics,8
Economics,Edexcel,3,Evaluating Economic Systems,The Nature of Economics,9
Economics,Edexcel,2,How Markets Work,Theme 1: Introduction to markets and market failure,2
Economics,Edexcel,3,Rationality and Demand,How Markets Work,1
Economics,Edexcel,3,Shifts in Demand and Marginal Utility,How Markets Work,2
Economics,Edexcel,3,Supply and its Determinants,How Markets Work,3
Economics,Edexcel,3,Market Equilibrium,How Markets Work,4
Economics,Edexcel,3,Changes in Market Equilibrium,How Markets Work,5
Economics,Edexcel,3,The Price Mechanism,How Markets Work,6
Economics,Edexcel,3,Consumer and Producer Surplus,How Markets Work,7
Economics,Edexcel,3,Introduction to Elasticities of Demand,How Markets Work,8
Economics,Edexcel,3,Price Elasticity of Demand (PED) and Revenue,How Markets Work,9
Economics,Edexcel,3,Income and Cross Elasticity of Demand (YED & XED),How Markets Work,10
Economics,Edexcel,3,Determinants and Significance of Demand Elasticity,How Markets Work,11
Economics,Edexcel,3,Price Elasticity of Supply (PES),How Markets Work,12
Economics,Edexcel,3,Determinants of PES and Time Periods,How Markets Work,13
Economics,Edexcel,3,Analysing Indirect Taxes and Subsidies,How Markets Work,14
Economics,Edexcel,3,Alternative Views of Consumer Behaviour,How Markets Work,15
Economics,Edexcel,2,Understanding Market Failure,Theme 1: Introduction to markets and market failure,3
Economics,Edexcel,3,Market Failure and Externalities,Understanding Market Failure,1
