subject,exam_board,level,title,parent_title,order_index
Geography,Edexcel,1,Area of study 1: Dynamic Landscapes,,1
Geography,Edexcel,2,Tectonic Processes and Hazards,Area of study 1: Dynamic Landscapes,1
Geography,Edexcel,3,Global Distribution and Causes of Tectonic Hazards,Tectonic Processes and Hazards,1
Geography,Edexcel,3,The Theory of Plate Tectonics,Tectonic Processes and Hazards,2
Geography,Edexcel,3,Processes at Plate Margins and Intra-plate Tectonics,Tectonic Processes and Hazards,3
Geography,Edexcel,3,Earthquake Characteristics and Hazards,Tectonic Processes and Hazards,4
Geography,Edexcel,3,Volcanic and Tsunami Hazards,Tectonic Processes and Hazards,5
Geography,Edexcel,3,"Defining Hazards, Disasters, and Resilience",Tectonic Processes and Hazards,6
Geography,Edexcel,3,Measuring and Profiling Tectonic Hazards,Tectonic Processes and Hazards,7
Geography,Edexcel,3,Socio-Economic Impacts and Event Profiles,Tectonic Processes and Hazards,8
Geography,Edexcel,3,Factors Influencing Vulnerability and Resilience,Tectonic Processes and Hazards,9
Geography,Edexcel,3,Contrasting Hazard Events and Disaster Trends,Tectonic Processes and Hazards,10
Geography,Edexcel,3,Mega-Disasters and Multiple-Hazard Zones,Tectonic Processes and Hazards,11
Geography,Edexcel,3,"Prediction, Forecasting and The Hazard Management Cycle",Tectonic Processes and Hazards,12
Geography,Edexcel,3,Modelling Hazard Response: Park’s Model,Tectonic Processes and Hazards,13
Geography,Edexcel,3,Strategies for Modifying the Event and Vulnerability,Tectonic Processes and Hazards,14
Geography,Edexcel,3,Strategies for Modifying Loss,Tectonic Processes and Hazards,15
Geography,Edexcel,2,Glaciated Landscapes and Change,Area of study 1: Dynamic Landscapes,2
Geography,Edexcel,3,Glacial and Interglacial Periods,Glaciated Landscapes and Change,1
Geography,Edexcel,3,The Cryosphere and Ice Distribution,Glaciated Landscapes and Change,2
Geography,Edexcel,3,"Periglacial Landscapes, Processes, and Landforms",Glaciated Landscapes and Change,3
Geography,Edexcel,3,The Glacial Mass Balance System,Glaciated Landscapes and Change,4
Geography,Edexcel,3,Glacial Movement,Glaciated Landscapes and Change,5
Geography,Edexcel,3,"Glacial Processes: Erosion, Transport, Deposition",Glaciated Landscapes and Change,6
Geography,Edexcel,3,Erosional Landforms of Glaciers and Ice Sheets,Glaciated Landscapes and Change,7
Geography,Edexcel,3,Glacial Depositional Features and Landscape Reconstruction,Glaciated Landscapes and Change,8
Geography,Edexcel,3,Fluvio-glacial Systems and Landforms,Glaciated Landscapes and Change,9
Geography,Edexcel,3,Value of Glaciated Landscapes,Glaciated Landscapes and Change,10
Geography,Edexcel,3,Biodiversity and Threats to Glaciated Landscapes,Glaciated Landscapes and Change,11
Geography,Edexcel,3,Climate Change Impacts and Management Challenges,Glaciated Landscapes and Change,12
Geography,Edexcel,3,Stakeholders and Legislative Frameworks for Management,Glaciated Landscapes and Change,13
Geography,Edexcel,2,Coastal Landscapes and Change,Area of study 1: Dynamic Landscapes,3
Geography,Edexcel,3,The Littoral Zone and Coastal Classification,Coastal Landscapes and Change,1
Geography,Edexcel,3,Geological Structure and Coastal Morphology,Coastal Landscapes and Change,2
Geography,Edexcel,3,"Lithology, Cliff Profiles, and Vegetation",Coastal Landscapes and Change,3
Geography,Edexcel,3,Wave Processes and Erosional Landforms,Coastal Landscapes and Change,4
