subject,exam_board,level,title,parent_title,order_index
History,AQA,1,"The Age of the Crusades, c1071–1204",,1
History,AQA,2,"The Crusader States and Outremer, c1071–1149","The Age of the Crusades, c1071–1204",1
History,AQA,3,"The Pre-Crusade World: West, East, and Byzantium","The Crusader States and Outremer, c1071–1149",1
History,AQA,3,"The First Crusade: Call, Motivations, and Course","The Crusader States and Outremer, c1071–1149",2
History,AQA,3,"Outremer: Establishment, Defence, and Diplomacy","The Crusader States and Outremer, c1071–1149",3
History,AQA,3,The Islamic Response and the Second Crusade,"The Crusader States and Outremer, c1071–1149",4
History,AQA,2,"The Revival of Islam and the Later Crusades, 1149–","The Age of the Crusades, c1071–1204",2
History,AQA,3,The Levant after the Second Crusade,"The Revival of Islam and the Later Crusades, 1149–",1
History,AQA,3,The Rise of Saladin and the Fall of Jerusalem,"The Revival of Islam and the Later Crusades, 1149–",2
History,AQA,3,The Third Crusade: Response and Impact,"The Revival of Islam and the Later Crusades, 1149–",3
History,AQA,3,The Fourth Crusade and the Legacy of the Crusad,"The Revival of Islam and the Later Crusades, 1149–",4
History,AQA,1,"1B Spain in the Age of Discovery, 1469–1598 (A-level only)",,2
History,AQA,2,"Establishing a ‘New Monarchy’, 1469–1556","1B Spain in the Age of Discovery, 1469–1598 (A-level only)",1
History,AQA,3,The Catholic Monarchs: Unification and Royal Authority,"Establishing a ‘New Monarchy’, 1469–1556",1
History,AQA,3,"The Catholic Monarchs: Religion, Economy, and Law","Establishing a ‘New Monarchy’, 1469–1556",2
History,AQA,3,Charles I: Imperial Inheritance and Governance,"Establishing a ‘New Monarchy’, 1469–1556",3
History,AQA,3,"Charles I: Religion, Empire, and Abdication","Establishing a ‘New Monarchy’, 1469–1556",4
History,AQA,2,"Philip II’s Spain, 1556–1598 (A-level only)","1B Spain in the Age of Discovery, 1469–1598 (A-level only)",2
History,AQA,3,Philip II’s Domestic Rule and Religious Policy,"Philip II’s Spain, 1556–1598 (A-level only)",1
History,AQA,3,"Philip II’s Spain: Economy, Culture, and Society","Philip II’s Spain, 1556–1598 (A-level only)",2
History,AQA,3,Philip II’s Foreign Policy: European Ambitions,"Philip II’s Spain, 1556–1598 (A-level only)",3
History,AQA,3,Philip II’s Foreign Policy: Global Conflicts and Empire,"Philip II’s Spain, 1556–1598 (A-level only)",4
History,AQA,1,"1C The Tudors: England, 1485–1603",,3
History,AQA,2,"Consolidation of the Tudor Dynasty: England, 1485–1547","1C The Tudors: England, 1485–1603",1
History,AQA,3,Henry VII: Securing the Throne,"Consolidation of the Tudor Dynasty: England, 1485–1547",1
History,AQA,3,"Society, Economy, and Culture under Henry VII","Consolidation of the Tudor Dynasty: England, 1485–1547",2
History,AQA,3,"Henry VIII: Government, Supremacy, and Foreign Policy","Consolidation of the Tudor Dynasty: England, 1485–1547",3
History,AQA,3,"Society, Economy, and the Henrician Reformation","Consolidation of the Tudor Dynasty: England, 1485–1547",4
History,AQA,2,"England: Turmoil and Triumph, 1547–1603 (A-level only)","1C The Tudors: England, 1485–1603",2
History,AQA,3,The Mid-Tudor Crisis: Edward VI and Mary I,"England: Turmoil and Triumph, 1547–1603 (A-level only)",1
History,AQA,3,Elizabeth I: Consolidation and Settlement,"England: Turmoil and Triumph, 1547–1603 (A-level only)",2
History,AQA,3,Challenges to Elizabethan Rule,"England: Turmoil and Triumph, 1547–1603 (A-level only)",3
History,AQA,3,"The Late Elizabethan State: Economy, Culture, and Society","England: Turmoil and Triumph, 1547–1603 (A-level only)",4
History,AQA,1,"1D Stuart Britain and the Crisis of Monarchy, 1603–1702",,4
History,AQA,2,"Absolutism Challenged: Britain, 1603–1649","1D Stuart Britain and the Crisis of Monarchy, 1603–1702",1
History,AQA,3,The Jacobean and Early Caroline State,"Absolutism Challenged: Britain, 1603–1649",1
History,AQA,3,"Conflict and Breakdown, 1603–1629","Absolutism Challenged: Britain, 1603–1649",2
History,AQA,3,The Personal Rule and the Path to War,"Absolutism Challenged: Britain, 1603–1649",3
History,AQA,3,"Civil War, Radicalism, and Regicide","Absolutism Challenged: Britain, 1603–1649",4
History,AQA,2,"Monarchy Restored and Restrained: Britain, 1649–1702","1D Stuart Britain and the Crisis of Monarchy, 1603–1702",2
History,AQA,3,The Interregnum: Republic and Protectorate,"Monarchy Restored and Restrained: Britain, 1649–1702",1
History,AQA,3,The Restoration Settlement and its Challenges,"Monarchy Restored and Restrained: Britain, 1649–1702",2
History,AQA,3,Crisis of Monarchy and the Glorious Revolution,"Monarchy Restored and Restrained: Britain, 1649–1702",3
History,AQA,3,The Post-Revolution Settlement and Limited Monarchy,"Monarchy Restored and Restrained: Britain, 1649–1702",4
History,AQA,1,"1E Russia in the Age of Absolutism and Enlightenment, 1682–1796 (A-level only)",,5
History,AQA,2,"Peter the Great and Russia, 1682–1725","1E Russia in the Age of Absolutism and Enlightenment, 1682–1796 (A-level only)",1
History,AQA,3,Peter’s Accession and Early Influences,"Peter the Great and Russia, 1682–1725",1
History,AQA,3,The Petrine Reforms: State and Economy,"Peter the Great and Russia, 1682–1725",2
History,AQA,3,Society and Opposition in Petrine Russia,"Peter the Great and Russia, 1682–1725",3
History,AQA,3,Peter the Great’s Foreign Policy and Wars,"Peter the Great and Russia, 1682–1725",4
History,AQA,2,"Enlightenment Russia, 1725–1796","1E Russia in the Age of Absolutism and Enlightenment, 1682–1796 (A-level only)",2
History,AQA,3,The Post-Petrine Era: Succession and Elizabeth,"Enlightenment Russia, 1725–1796",1
History,AQA,3,Russia before Catherine the Great,"Enlightenment Russia, 1725–1796",2
History,AQA,3,Catherine the Great: Enlightened Rule and Reform,"Enlightenment Russia, 1725–1796",3
History,AQA,3,Catherine the Great: Challenges and Imperial Expansion,"Enlightenment Russia, 1725–1796",4
History,AQA,1,"1F Industrialisation and the People: Britain, c1783–1885",,6
History,AQA,2,"The Impact of Industrialisation: Britain, c1783–1832","1F Industrialisation and the People: Britain, c1783–1885",1
History,AQA,3,Britain in the Age of Pitt,"The Impact of Industrialisation: Britain, c1783–1832",1
History,AQA,3,"War, Radicalism, and Social Change","The Impact of Industrialisation: Britain, c1783–1832",2
History,AQA,3,Post-War Toryism and Repression,"The Impact of Industrialisation: Britain, c1783–1832",3
History,AQA,3,Industrial Society and the Great Reform Act,"The Impact of Industrialisation: Britain, c1783–1832",4
History,AQA,2,"The Age of Reform: Britain, 1832–1885 (A-level only)","1F Industrialisation and the People: Britain, c1783–1885",2
History,AQA,3,Post-Reform Act Britain: Politics and Protest,"The Age of Reform: Britain, 1832–1885 (A-level only)",1
History,AQA,3,"Peel, the Economy, and Social Conditions","The Age of Reform: Britain, 1832–1885 (A-level only)",2
History,AQA,3,Mid-Victorian Politics: Gladstone and Disraeli,"The Age of Reform: Britain, 1832–1885 (A-level only)",3
History,AQA,3,The Late Victorian State and Society,"The Age of Reform: Britain, 1832–1885 (A-level only)",4
History,AQA,1,"1G Challenge and transformation: Britain, c1851–1964",,7
History,AQA,2,"Victorian and Edwardian Britain, c1851–1914","1G Challenge and transformation: Britain, c1851–1964",1
History,AQA,3,"Mid-Victorian Politics, Economy, and Society","Victorian and Edwardian Britain, c1851–1914",1
History,AQA,3,Late Victorian Challenges: Ireland and the Rise of,"Victorian and Edwardian Britain, c1851–1914",2
History,AQA,3,The New Liberalism and the Welfare State,"Victorian and Edwardian Britain, c1851–1914",3
History,AQA,3,Edwardian Britain on the Eve of War,"Victorian and Edwardian Britain, c1851–1914",4
History,AQA,2,"The World Wars and their Legacies: Britain, 1914–","1G Challenge and transformation: Britain, c1851–1964",2
History,AQA,3,The Impact of the Great War,"The World Wars and their Legacies: Britain, 1914–",1
History,AQA,3,"Interwar Britain: Politics, Economy, and Ireland","The World Wars and their Legacies: Britain, 1914–",2
History,AQA,3,WWII and the Post-War Labour Government,"The World Wars and their Legacies: Britain, 1914–",3
History,AQA,3,The Age of Affluence: Politics and Economy,"The World Wars and their Legacies: Britain, 1914–",4
History,AQA,3,"Post-War Society: Change, Division, and Ireland","The World Wars and their Legacies: Britain, 1914–",5
History,AQA,1,"1H Tsarist and Communist Russia, 1855–1964",,8
History,AQA,2,"Autocracy, Reform and Revolution: Russia, 1855–","1H Tsarist and Communist Russia, 1855–1964",1
History,AQA,3,The Era of Great Reforms under Alexander II,"Autocracy, Reform and Revolution: Russia, 1855–",1
History,AQA,3,"Reaction, Russification, and the Growth of Opposi","Autocracy, Reform and Revolution: Russia, 1855–",2
History,AQA,3,The Reign of Nicholas II and the 1905 Revolution,"Autocracy, Reform and Revolution: Russia, 1855–",3
History,AQA,3,War and the Revolutions of 1917,"Autocracy, Reform and Revolution: Russia, 1855–",4
History,AQA,2,"The Soviet Union, 1917–1964 (A-level only)","1H Tsarist and Communist Russia, 1855–1964",2
History,AQA,3,Lenin’s Russia: Revolution and Consolidation,"The Soviet Union, 1917–1964 (A-level only)",1
History,AQA,3,Stalin’s Revolution: Collectivisation and Industri,"The Soviet Union, 1917–1964 (A-level only)",2
History,AQA,3,The Great Patriotic War and High Stalinism,"The Soviet Union, 1917–1964 (A-level only)",3
History,AQA,3,The Khrushchev Thaw and its Limits,"The Soviet Union, 1917–1964 (A-level only)",4
History,AQA,1,"1J The British Empire, c1857–1967",,9
History,AQA,2,"The High Water Mark of the British Empire, c1857–","1J The British Empire, c1857–1967",1
History,AQA,3,Imperial Expansion and Policy in Africa,"The High Water Mark of the British Empire, c1857–",1
History,AQA,3,"Trade, Attitudes, and Indigenous Relations","The High Water Mark of the British Empire, c1857–",2
History,AQA,3,The ‘New Imperialism’: Consolidation and Policy,"The High Water Mark of the British Empire, c1857–",3
History,AQA,3,Justifications and Challenges to Late Victorian Imp,"The High Water Mark of the British Empire, c1857–",4
History,AQA,2,"Imperial Retreat, 1914–1967 (A-level only)","1J The British Empire, c1857–1967",2
History,AQA,3,The World Wars and their Impact on the Empire,"Imperial Retreat, 1914–1967 (A-level only)",1
History,AQA,3,"The Interwar Empire: Policy, Attitudes, and Nation","Imperial Retreat, 1914–1967 (A-level only)",2
History,AQA,3,The Process of Decolonisation and the Suez Crisis,"Imperial Retreat, 1914–1967 (A-level only)",3
History,AQA,3,The End of Empire and its Legacy,"Imperial Retreat, 1914–1967 (A-level only)",4
History,AQA,1,"1K The making of a Superpower: USA, 1865–1975",,10
History,AQA,2,"From Civil War to World War, 1865–1920","1K The making of a Superpower: USA, 1865–1975",1
History,AQA,3,The Gilded Age: Politics and Society,"From Civil War to World War, 1865–1920",1
History,AQA,3,The Gilded Age: Economy and Foreign Policy,"From Civil War to World War, 1865–1920",2
History,AQA,3,The Progressive Era: Domestic Reform and Social,"From Civil War to World War, 1865–1920",3
History,AQA,3,The Progressive Era: Economic Power and the Wo,"From Civil War to World War, 1865–1920",4
History,AQA,2,"Crises and the Rise to World Power, 1920–1975 (A-","1K The making of a Superpower: USA, 1865–1975",2
History,AQA,3,The 1920s and the Great Depression,"Crises and the Rise to World Power, 1920–1975 (A-",1
History,AQA,3,From Isolationism to Superpower: WWII and the E,"Crises and the Rise to World Power, 1920–1975 (A-",2
History,AQA,3,The Affluent Society: Progress and Division,"Crises and the Rise to World Power, 1920–1975 (A-",3
History,AQA,3,Superpower: The Post-War Economy and Cold Wa,"Crises and the Rise to World Power, 1920–1975 (A-",4
History,AQA,1,"1L The quest for political stability: Germany, 1871–",,11
History,AQA,2,"Empire to Democracy, 1871–1929","1L The quest for political stability: Germany, 1871–",1
History,AQA,3,The German Empire under Bismarck,"Empire to Democracy, 1871–1929",1
History,AQA,3,Wilhelmine Germany on the Eve of War,"Empire to Democracy, 1871–1929",2
History,AQA,3,WWI and the Troubled Birth of the Weimar Republi,"Empire to Democracy, 1871–1929",3
History,AQA,3,The Stresemann Era: Stability and Culture,"Empire to Democracy, 1871–1929",4
History,AQA,2,"The Impact of Nazism, War and Division, 1929–199","1L The quest for political stability: Germany, 1871–",2
History,AQA,3,The Nazi Seizure of Power and Peacetime Rule,"The Impact of Nazism, War and Division, 1929–199",1
History,AQA,3,The Second World War and the Division of Germ,"The Impact of Nazism, War and Division, 1929–199",2
History,AQA,3,"West Germany: Democracy, Prosperity, and Politic","The Impact of Nazism, War and Division, 1929–199",3
History,AQA,3,West German Society and Reunification,"The Impact of Nazism, War and Division, 1929–199",4
History,AQA,1,"2A Royal Authority and the Angevin Kings, 1154–1216",,12
History,AQA,2,"The Reign of Henry II, 1154–1189","2A Royal Authority and the Angevin Kings, 1154–1216",1
History,AQA,3,Henry II’s Accession and Restoration of Authority,"The Reign of Henry II, 1154–1189",1
History,AQA,3,Church–State Conflict and Ireland,"The Reign of Henry II, 1154–1189",2
History,AQA,3,The Great Rebellion and its Aftermath,"The Reign of Henry II, 1154–1189",3
History,AQA,3,The Final Years of Henry II’s Reign,"The Reign of Henry II, 1154–1189",4
History,AQA,2,"England under Henry II’s Successors, 1189–1216 (A-","2A Royal Authority and the Angevin Kings, 1154–1216",2
History,AQA,3,The Reign of Richard I,"England under Henry II’s Successors, 1189–1216 (A-",1
History,AQA,3,King John’s Early Reign: Government and Church,"England under Henry II’s Successors, 1189–1216 (A-",2
History,AQA,3,King John’s Military Failures,"England under Henry II’s Successors, 1189–1216 (A-",3
History,AQA,3,"Magna Carta, Civil War, and John’s Legacy","England under Henry II’s Successors, 1189–1216 (A-",4
History,AQA,1,"2B The Wars of the Roses, 1450–1499",,13
History,AQA,2,"The Fall of the House of Lancaster, 1450–1471","2B The Wars of the Roses, 1450–1499",1
History,AQA,3,Origins of the Conflict and the Rise of York,"The Fall of the House of Lancaster, 1450–1471",1
History,AQA,3,The First Phase of War and Uneasy Peace,"The Fall of the House of Lancaster, 1450–1471",2
History,AQA,3,The Yorkist Triumph,"The Fall of the House of Lancaster, 1450–1471",3
History,AQA,3,Edward IV’s Early Reign and the Fall of Lancaster,"The Fall of the House of Lancaster, 1450–1471",4
History,AQA,2,"The Fall of the House of York, 1471–1499 (A-level o","2B The Wars of the Roses, 1450–1499",2
History,AQA,3,The Second Reign of Edward IV,"The Fall of the House of York, 1471–1499 (A-level o",1
History,AQA,3,The Usurpation of Richard III,"The Fall of the House of York, 1471–1499 (A-level o",2
History,AQA,3,The Fall of York and Rise of Tudor,"The Fall of the House of York, 1471–1499 (A-level o",3
