subject,exam_board,level,title,parent_title,order_index
History,Edexcel,1,"Route A: Conquest, control and resistance in the medieval world",,1
History,Edexcel,2,"The Crusades, c1095–1204","Route A: Conquest, control and resistance in the medieval world",1
History,Edexcel,3,Religious and Political Motives for Crusading,"The Crusades, c1095–1204",1
History,Edexcel,3,Secular and Social Motives for Crusading,"The Crusades, c1095–1204",2
History,Edexcel,3,"The Role of Knights, Chivalry and Settlement","The Crusades, c1095–1204",3
History,Edexcel,3,The First Crusade: Leadership and Conquests,"The Crusades, c1095–1204",4
History,Edexcel,3,The Second Crusade: Leadership and Failure,"The Crusades, c1095–1204",5
History,Edexcel,3,The Third Crusade: A Troubled Leadership,"The Crusades, c1095–1204",6
History,Edexcel,3,The Crusader States: Geography and Economy,"The Crusades, c1095–1204",7
History,Edexcel,3,The Crusader States: Defence and Military Orders,"The Crusades, c1095–1204",8
History,Edexcel,3,The Crusader States: Government and Instability,"The Crusades, c1095–1204",9
History,Edexcel,3,Muslim Disunity and the First Crusade's Success,"The Crusades, c1095–1204",10
History,Edexcel,3,The Muslim Counter-Crusade: Zengi and Nur ad-Din,"The Crusades, c1095–1204",11
History,Edexcel,3,The Age of Saladin,"The Crusades, c1095–1204",12
History,Edexcel,3,The Fourth Crusade: A Diverted Crusade,"The Crusades, c1095–1204",13
History,Edexcel,3,The Fourth Crusade: The Role of Venice and Constantinople,"The Crusades, c1095–1204",14
History,Edexcel,2,"Anglo-Saxon England and the Anglo-Norman Kingdom, c1053–1106","Route A: Conquest, control and resistance in the medieval world",2
History,Edexcel,3,The Anglo-Saxon State: Monarchy and Government,"Anglo-Saxon England and the Anglo-Norman Kingdom, c1053–1106",1
History,Edexcel,3,The Anglo-Saxon Economy,"Anglo-Saxon England and the Anglo-Norman Kingdom, c1053–1106",2
History,Edexcel,3,The House of Godwin and the Rise of Harold,"Anglo-Saxon England and the Anglo-Norman Kingdom, c1053–1106",3
History,Edexcel,3,The Succession Crisis of 1066,"Anglo-Saxon England and the Anglo-Norman Kingdom, c1053–1106",4
History,Edexcel,3,The Norman Invasion and the Battle of Hastings,"Anglo-Saxon England and the Anglo-Norman Kingdom, c1053–1106",5
History,Edexcel,3,Securing the Kingdom: The Norman Rebellions,"Anglo-Saxon England and the Anglo-Norman Kingdom, c1053–1106",6
History,Edexcel,3,Extending Control: Wales and Scotland,"Anglo-Saxon England and the Anglo-Norman Kingdom, c1053–1106",7
History,Edexcel,3,The Norman Military State,"Anglo-Saxon England and the Anglo-Norman Kingdom, c1053–1106",8
History,Edexcel,3,Norman Government and Law,"Anglo-Saxon England and the Anglo-Norman Kingdom, c1053–1106",9
History,Edexcel,3,The Norman Aristocracy and the Domesday Survey,"Anglo-Saxon England and the Anglo-Norman Kingdom, c1053–1106",10
History,Edexcel,3,Social Changes under the Normans,"Anglo-Saxon England and the Anglo-Norman Kingdom, c1053–1106",11
History,Edexcel,3,The Normanisation of the English Church,"Anglo-Saxon England and the Anglo-Norman Kingdom, c1053–1106",12
History,Edexcel,3,Normandy and the Rule of William I,"Anglo-Saxon England and the Anglo-Norman Kingdom, c1053–1106",13
History,Edexcel,3,William Rufus and Robert Curthose,"Anglo-Saxon England and the Anglo-Norman Kingdom, c1053–1106",14
History,Edexcel,3,Henry I and the Restoration of the Anglo-Norman Kingdom,"Anglo-Saxon England and the Anglo-Norman Kingdom, c1053–1106",15
History,Edexcel,2,"England and the Angevin Empire in the reign of Henry II, 1154–89","Route A: Conquest, control and resistance in the medieval world",3
History,Edexcel,3,The Angevin Inheritance in 1154,"England and the Angevin Empire in the reign of Henry II, 1154–89",1
History,Edexcel,3,Restoring Royal Authority over the Nobility,"England and the Angevin Empire in the reign of Henry II, 1154–89",2
History,Edexcel,3,"Extending Authority: Wales, Scotland and Ireland","England and the Angevin Empire in the reign of Henry II, 1154–89",3
History,Edexcel,3,Control and Conflict in the French Lands,"England and the Angevin Empire in the reign of Henry II, 1154–89",4
History,Edexcel,3,Reforming Government Institutions,"England and the Angevin Empire in the reign of Henry II, 1154–89",5
History,Edexcel,3,Financial and Coinage Reforms,"England and the Angevin Empire in the reign of Henry II, 1154–89",6
History,Edexcel,3,Legal Reforms and Royal Justice,"England and the Angevin Empire in the reign of Henry II, 1154–89",7
