subject,exam_board,level,title,parent_title,order_index
Mathematics,AQA,1,Pure Mathematics,,1
Mathematics,AQA,2,Mathematical Thinking and Problem Solving,Pure Mathematics,1
Mathematics,AQA,3,The Mathematical Problem Solving Cycle,Mathematical Thinking and Problem Solving,1
Mathematics,AQA,3,Recognising and Simplifying Problem Structure,Mathematical Thinking and Problem Solving,2
Mathematics,AQA,3,Using Diagrams in Problem Solving,Mathematical Thinking and Problem Solving,3
Mathematics,AQA,3,Solving Unstructured Problems,Mathematical Thinking and Problem Solving,4
Mathematics,AQA,3,Interpreting and Communicating Solutions,Mathematical Thinking and Problem Solving,5
Mathematics,AQA,2,Mathematical Argument and Proof,Pure Mathematics,2
Mathematics,AQA,3,Using Precise Mathematical Language and Symbols,Mathematical Argument and Proof,1
Mathematics,AQA,3,Understanding Mathematical Syntax,Mathematical Argument and Proof,2
Mathematics,AQA,3,Arguments using Diagrams and Deduction,Mathematical Argument and Proof,3
Mathematics,AQA,3,The Structure of Mathematical Proof,Mathematical Argument and Proof,4
Mathematics,AQA,3,Proof by Deduction and Exhaustion,Mathematical Argument and Proof,5
Mathematics,AQA,3,Disproof by Counter-example,Mathematical Argument and Proof,6
Mathematics,AQA,3,Proof by Contradiction,Mathematical Argument and Proof,7
Mathematics,AQA,3,Applying Proof by Contradiction,Mathematical Argument and Proof,8
Mathematics,AQA,3,Critiquing Mathematical Arguments and Proofs,Mathematical Argument and Proof,9
Mathematics,AQA,2,Algebra: Expressions and Polynomials,Pure Mathematics,3
Mathematics,AQA,3,Indices with Rational Exponents,Algebra: Expressions and Polynomials,1
Mathematics,AQA,3,Manipulating and Rationalising Surds,Algebra: Expressions and Polynomials,2
Mathematics,AQA,3,Manipulating and Factorising Polynomials,Algebra: Expressions and Polynomials,3
Mathematics,AQA,3,Algebraic Division and the Factor Theorem,Algebra: Expressions and Polynomials,4
Mathematics,AQA,3,Simplifying Rational Expressions,Algebra: Expressions and Polynomials,5
Mathematics,AQA,3,Decomposing into Partial Fractions,Algebra: Expressions and Polynomials,6
Mathematics,AQA,2,"Quadratics, Inequalities and Sets",Pure Mathematics,4
Mathematics,AQA,3,Graphs of Quadratic Functions,"Quadratics, Inequalities and Sets",1
Mathematics,AQA,3,Solving Quadratics by Completing the Square,"Quadratics, Inequalities and Sets",2
Mathematics,AQA,3,The Discriminant and Nature of Roots,"Quadratics, Inequalities and Sets",3
Mathematics,AQA,3,Solving Disguised Quadratic Equations,"Quadratics, Inequalities and Sets",4
Mathematics,AQA,3,Solving Linear and Quadratic Simultaneous Equations,"Quadratics, Inequalities and Sets",5
Mathematics,AQA,3,Solving Linear and Quadratic Inequalities,"Quadratics, Inequalities and Sets",6
Mathematics,AQA,3,Introduction to Set Theory Language,"Quadratics, Inequalities and Sets",7
Mathematics,AQA,3,Applying Set Theory to Problems,"Quadratics, Inequalities and Sets",8
Mathematics,AQA,3,Representing Solutions with Set Notation,"Quadratics, Inequalities and Sets",9
Mathematics,AQA,3,Representing Inequalities Graphically,"Quadratics, Inequalities and Sets",10
Mathematics,AQA,2,Functions and Graph Sketching,Pure Mathematics,5
Mathematics,AQA,3,"Definition of a Function, Domain and Range",Functions and Graph Sketching,1
Mathematics,AQA,3,Sketching Polynomials and Modulus Functions,Functions and Graph Sketching,2
Mathematics,AQA,3,Sketching Reciprocal Functions and Asymptote,Functions and Graph Sketching,3
Mathematics,AQA,3,Proportional Relationships and Graphs,Functions and Graph Sketching,4
Mathematics,AQA,3,Solving Equations using Graph Intersections,Functions and Graph Sketching,5
Mathematics,AQA,3,Working with Composite and Inverse Functions,Functions and Graph Sketching,6
Mathematics,AQA,2,Graph Transformations,Pure Mathematics,6
Mathematics,AQA,3,Vertical Translations and Stretches,Graph Transformations,1
Mathematics,AQA,3,Horizontal Translations and Stretches,Graph Transformations,2
Mathematics,AQA,3,Combining Graph Transformations,Graph Transformations,3
Mathematics,AQA,2,Coordinate Geometry,Pure Mathematics,7
Mathematics,AQA,3,Forms of the Equation of a Straight Line,Coordinate Geometry,1
Mathematics,AQA,3,Parallel and Perpendicular Lines,Coordinate Geometry,2
Mathematics,AQA,3,The Equation of a Circle,Coordinate Geometry,3
Mathematics,AQA,3,Finding Centre and Radius by Completing the Square,Coordinate Geometry,4
Mathematics,AQA,3,Circle Properties: Semicircles and Chords,Coordinate Geometry,5
Mathematics,AQA,3,Circle Properties: Tangents and Radii,Coordinate Geometry,6
