subject,exam_board,level,title,parent_title,order_index
Mathematics,OCR,1,Pure Mathematics,,1
Mathematics,OCR,2,Mathematical Proof,Pure Mathematics,1
Mathematics,OCR,3,Structure and Methods of Proof,Mathematical Proof,1
Mathematics,OCR,3,Logical Connectives and Disproof by Counter-Example,Mathematical Proof,2
Mathematics,OCR,3,Proof by Contradiction,Mathematical Proof,3
Mathematics,OCR,2,Algebra and Functions,Pure Mathematics,2
Mathematics,OCR,3,Laws of Indices,Algebra and Functions,1
Mathematics,OCR,3,Manipulating Surds,Algebra and Functions,2
Mathematics,OCR,3,Solving Simultaneous Equations,Algebra and Functions,3
Mathematics,OCR,3,Quadratic Functions and the Discriminant,Algebra and Functions,4
Mathematics,OCR,3,Completing the Square,Algebra and Functions,5
Mathematics,OCR,3,Solving Advanced Quadratic Equations and Inequalities,Algebra and Functions,6
Mathematics,OCR,3,Representing Inequality Solutions,Algebra and Functions,7
Mathematics,OCR,3,Manipulating Polynomials and The Factor Theorem,Algebra and Functions,8
Mathematics,OCR,3,Simplifying Rational Expressions and Algebraic Fractions,Algebra and Functions,9
Mathematics,OCR,3,The Modulus Function,Algebra and Functions,10
Mathematics,OCR,3,Sketching and Solving with Modulus Graphs,Algebra and Functions,11
Mathematics,OCR,3,Sketching Curves,Algebra and Functions,12
Mathematics,OCR,3,Graphical Solutions and Proportionality,Algebra and Functions,13
Mathematics,OCR,3,Definition of a Function,Algebra and Functions,14
Mathematics,OCR,3,Composite and Inverse Functions,Algebra and Functions,15
Mathematics,OCR,3,Graph Transformations,Algebra and Functions,16
Mathematics,OCR,3,Partial Fractions,Algebra and Functions,17
Mathematics,OCR,3,Using Functions in Modelling,Algebra and Functions,18
Mathematics,OCR,2,Coordinate Geometry,Pure Mathematics,3
Mathematics,OCR,3,Equations and Properties of Straight Lines,Coordinate Geometry,1
Mathematics,OCR,3,Parallel/Perpendicular Lines and Modelling,Coordinate Geometry,2
Mathematics,OCR,3,The Equation of a Circle,Coordinate Geometry,3
Mathematics,OCR,3,Circle Properties and Intersections,Coordinate Geometry,4
Mathematics,OCR,3,Parametric Equations and Modelling,Coordinate Geometry,5
Mathematics,OCR,2,Sequences and Series,Pure Mathematics,4
Mathematics,OCR,3,Binomial Expansion (Positive Integer Powers),Sequences and Series,1
Mathematics,OCR,3,Binomial Expansion (Rational Powers),Sequences and Series,2
Mathematics,OCR,3,Introduction to Sequences,Sequences and Series,3
Mathematics,OCR,3,Sigma Notation,Sequences and Series,4
Mathematics,OCR,3,Arithmetic Progressions,Sequences and Series,5
Mathematics,OCR,3,Geometric Progressions,Sequences and Series,6
Mathematics,OCR,3,Modelling with Sequences and Series,Sequences and Series,7
