subject,exam_board,level,title,parent_title,order_index
Physics,Edexcel,1,Scientific Principles and Practice,,1
Physics,Edexcel,2,Fundamental Quantities and Measurement,Scientific Principles and Practice,1
Physics,Edexcel,3,Base and Derived Quantities,Fundamental Quantities and Measurement,1
Physics,Edexcel,3,Practical Skills and Techniques,Fundamental Quantities and Measurement,2
Physics,Edexcel,3,Estimation in Physics,Fundamental Quantities and Measurement,3
Physics,Edexcel,3,Limitations of Physical Measurement,Fundamental Quantities and Measurement,4
Physics,Edexcel,2,The Nature and Communication of Science,Scientific Principles and Practice,2
Physics,Edexcel,3,Scientific Communication,The Nature and Communication of Science,1
Physics,Edexcel,3,Benefits and Risks of Scientific Applications,The Nature and Communication of Science,2
Physics,Edexcel,3,Validating Scientific Knowledge,The Nature and Communication of Science,3
Physics,Edexcel,3,Science in Societal Decision Making,The Nature and Communication of Science,4
Physics,Edexcel,1,"Motion, Forces, and Energy",,2
Physics,Edexcel,2,Kinematics,"Motion, Forces, and Energy",1
Physics,Edexcel,3,Equations of Uniform Motion (SUVAT),Kinematics,1
Physics,Edexcel,3,Motion Graphs,Kinematics,2
Physics,Edexcel,3,Scalar and Vector Quantities,Kinematics,3
Physics,Edexcel,3,Vector Resolution and Addition,Kinematics,4
Physics,Edexcel,3,Projectile Motion,Kinematics,5
Physics,Edexcel,2,Dynamics and Forces,"Motion, Forces, and Energy",2
Physics,Edexcel,3,Free-Body Diagrams and Newton's Laws,Dynamics and Forces,1
Physics,Edexcel,3,Gravitational Field Strength and Weight,Dynamics and Forces,2
Physics,Edexcel,3,Core Practical 1: Determine ‘g’,Dynamics and Forces,3
Physics,Edexcel,2,Momentum and Moments,"Motion, Forces, and Energy",3
Physics,Edexcel,3,Momentum and Newton's Third Law,Momentum and Moments,1
Physics,Edexcel,3,Conservation of Linear Momentum,Momentum and Moments,2
Physics,Edexcel,3,Moments and Equilibrium,Momentum and Moments,3
Physics,Edexcel,2,"Work, Energy, and Power","Motion, Forces, and Energy",4
Physics,Edexcel,3,Work and Kinetic Energy,"Work, Energy, and Power",1
Physics,Edexcel,3,Gravitational Potential Energy and Conservatio,"Work, Energy, and Power",2
Physics,Edexcel,3,Power,"Work, Energy, and Power",3
Physics,Edexcel,3,Efficiency,"Work, Energy, and Power",4
Physics,Edexcel,1,Fundamentals of Electric Circuits,,3
Physics,Edexcel,2,Fundamental Circuit Concepts,Fundamentals of Electric Circuits,1
Physics,Edexcel,3,Electric Current and Potential Difference,Fundamental Circuit Concepts,1
Physics,Edexcel,3,Resistance and Ohm's Law,Fundamental Circuit Concepts,2
Physics,Edexcel,3,Circuit Conservation Laws,Fundamental Circuit Concepts,3
