subject,exam_board,level,title,parent_title,order_index
Psychology,AQA,1,Introductory topics in Psychology,,1
Psychology,AQA,2,Social Influence,Introductory topics in Psychology,1
Psychology,AQA,3,Types of Conformity,Social Influence,1
Psychology,AQA,3,Explanations for Conformity,Social Influence,2
Psychology,AQA,3,Asch’s Research on Conformity,Social Influence,3
Psychology,AQA,3,Conformity to Social Roles (Zimbardo),Social Influence,4
Psychology,AQA,3,Milgram’s Research on Obedience,Social Influence,5
Psychology,AQA,3,Situational Explanations for Obedience,Social Influence,6
Psychology,AQA,3,Dispositional Explanation for Obedience,Social Influence,7
Psychology,AQA,3,Resistance: Social Support,Social Influence,8
Psychology,AQA,3,Resistance: Locus of Control,Social Influence,9
Psychology,AQA,3,Minority Influence,Social Influence,10
Psychology,AQA,3,Social Influence and Social Change,Social Influence,11
Psychology,AQA,2,Memory,Introductory topics in Psychology,2
Psychology,AQA,3,The Multi-Store Model of Memory,Memory,1
Psychology,AQA,3,Features of Memory Stores,Memory,2
Psychology,AQA,3,Types of Long-Term Memory,Memory,3
Psychology,AQA,3,The Working Memory Model: Components,Memory,4
Psychology,AQA,3,The Working Memory Model: Features,Memory,5
Psychology,AQA,3,Forgetting: Interference Theory,Memory,6
Psychology,AQA,3,Forgetting: Retrieval Failure,Memory,7
Psychology,AQA,3,Eyewitness Testimony: Misleading Information,Memory,8
Psychology,AQA,3,Eyewitness Testimony: Anxiety,Memory,9
Psychology,AQA,3,Improving Eyewitness Testimony: The Cognitive Interview,Memory,10
Psychology,AQA,2,Attachment,Introductory topics in Psychology,3
Psychology,AQA,3,Caregiver–Infant Interactions,Attachment,1
Psychology,AQA,3,Schaffer’s Stages of Attachment,Attachment,2
Psychology,AQA,3,Multiple Attachments and the Role of the Father,Attachment,3
Psychology,AQA,3,Animal Studies: Lorenz’s Research,Attachment,4
Psychology,AQA,3,Animal Studies: Harlow’s Research,Attachment,5
Psychology,AQA,3,Explanations of Attachment: Learning Theory,Attachment,6
Psychology,AQA,3,Explanations of Attachment: Bowlby’s Theory,Attachment,7
Psychology,AQA,3,Bowlby’s Theory: Key Concepts,Attachment,8
Psychology,AQA,3,Ainsworth’s ‘Strange Situation’,Attachment,9
Psychology,AQA,3,Types of Attachment,Attachment,10
Psychology,AQA,3,Cultural Variations in Attachment,Attachment,11
Psychology,AQA,3,Bowlby’s Theory of Maternal Deprivation,Attachment,12
Psychology,AQA,3,Effects of Institutionalisation,Attachment,13
Psychology,AQA,3,Influence of Early Attachment on Later Relationships,Attachment,14
Psychology,AQA,2,Psychopathology,Introductory topics in Psychology,4
Psychology,AQA,3,Definitions: Deviation and Infrequency,Psychopathology,1
Psychology,AQA,3,Definitions: Functioning and Mental Health,Psychopathology,2
Psychology,AQA,3,Characteristics of Phobias,Psychopathology,3
Psychology,AQA,3,Characteristics of Depression,Psychopathology,4
Psychology,AQA,3,Characteristics of OCD,Psychopathology,5
Psychology,AQA,3,Explaining Phobias: The Two-Process Model,Psychopathology,6
Psychology,AQA,3,Treating Phobias: Systematic Desensitisation,Psychopathology,7
Psychology,AQA,3,Treating Phobias: Flooding,Psychopathology,8
Psychology,AQA,3,Explaining Depression: Cognitive Models,Psychopathology,9
Psychology,AQA,3,Treating Depression: CBT,Psychopathology,10
Psychology,AQA,3,Explaining OCD: Biological Approach,Psychopathology,11
Psychology,AQA,3,Treating OCD: Drug Therapy,Psychopathology,12
Psychology,AQA,1,Psychology in Context,,2
Psychology,AQA,2,Approaches in Psychology,Psychology in Context,1
Psychology,AQA,3,Origins of Psychology,Approaches in Psychology,1
Psychology,AQA,3,The Behaviourist Approach: Classical Conditioning,Approaches in Psychology,2
Psychology,AQA,3,The Behaviourist Approach: Operant Conditioning,Approaches in Psychology,3
Psychology,AQA,3,Social Learning Theory: Core Concepts,Approaches in Psychology,4
Psychology,AQA,3,Social Learning Theory: Mediational Processes,Approaches in Psychology,5
Psychology,AQA,3,The Cognitive Approach: Core Concepts,Approaches in Psychology,6
Psychology,AQA,3,The Cognitive Approach: Models and Neuroscience,Approaches in Psychology,7
Psychology,AQA,3,The Biological Approach: Core Principles,Approaches in Psychology,8
Psychology,AQA,3,The Biological Approach: Genetics and Evolution,Approaches in Psychology,9
Psychology,AQA,3,Psychodynamic: The Unconscious & Personality Structure,Approaches in Psychology,10
Psychology,AQA,3,Psychodynamic: Defence Mechanisms,Approaches in Psychology,11
Psychology,AQA,3,Psychodynamic: Psychosexual Stages,Approaches in Psychology,12
Psychology,AQA,3,Humanistic Psychology: Core Concepts,Approaches in Psychology,13
Psychology,AQA,3,Humanistic Psychology: The Self and Congruence,Approaches in Psychology,14
Psychology,AQA,3,Humanistic Psychology: Applied,Approaches in Psychology,15
Psychology,AQA,3,Comparison of Approaches,Approaches in Psychology,16
Psychology,AQA,2,Biopsychology,Psychology in Context,2
Psychology,AQA,3,Divisions of the Nervous System,Biopsychology,1
Psychology,AQA,3,Types of Neurons,Biopsychology,2
Psychology,AQA,3,Synaptic Transmission,Biopsychology,3
Psychology,AQA,3,The Endocrine System,Biopsychology,4
Psychology,AQA,3,The Fight or Flight Response,Biopsychology,5
Psychology,AQA,3,Localisation of Brain Function,Biopsychology,6
Psychology,AQA,3,Hemispheric Lateralisation & Split-Brain Research,Biopsychology,7
Psychology,AQA,3,Brain Plasticity and Functional Recovery,Biopsychology,8
Psychology,AQA,3,Studying the Brain: fMRI,Biopsychology,9
Psychology,AQA,3,Studying the Brain: EEGs and ERPs,Biopsychology,10
Psychology,AQA,3,Studying the Brain: Post-Mortem Examinations,Biopsychology,11
Psychology,AQA,3,Types of Biological Rhythms,Biopsychology,12
Psychology,AQA,3,The Sleep/Wake Cycle,Biopsychology,13
Psychology,AQA,2,Research Methods,Psychology in Context,3
Psychology,AQA,3,Laboratory and Field Experiments,Research Methods,1
Psychology,AQA,3,Natural and Quasi-Experiments,Research Methods,2
Psychology,AQA,3,Observational Techniques,Research Methods,3
Psychology,AQA,3,Self-Report Techniques,Research Methods,4
Psychology,AQA,3,Correlations,Research Methods,5
Psychology,AQA,3,Content Analysis,Research Methods,6
Psychology,AQA,3,Case Studies,Research Methods,7
Psychology,AQA,3,Aims and Hypotheses,Research Methods,8
Psychology,AQA,3,Sampling Techniques,Research Methods,9
Psychology,AQA,3,Pilot Studies,Research Methods,10
Psychology,AQA,3,Experimental Designs,Research Methods,11
Psychology,AQA,3,Observational Design,Research Methods,12
Psychology,AQA,3,Questionnaire and Interview Design,Research Methods,13
