subject,exam_board,level,title,parent_title,order_index
Sociology,AQA,1,Education with Theory and Methods,,1
Sociology,AQA,2,Education,Education with Theory and Methods,1
Sociology,AQA,3,Role and Functions of the Education System,Education,1
Sociology,AQA,3,Differential Educational Achievement,Education,2
Sociology,AQA,3,Relationships and Processes in Schools,Education,3
Sociology,AQA,3,The Hidden Curriculum and School Organisation,Education,4
Sociology,AQA,3,Educational Policies: Selection and Marketisation,Education,5
Sociology,AQA,3,Educational Policies for Equality,Education,6
Sociology,AQA,3,Globalisation and Educational Policy,Education,7
Sociology,AQA,2,Methods in Context,Education with Theory and Methods,2
Sociology,AQA,3,Applying Sociological Research Methods to Education,Methods in Context,1
Sociology,AQA,2,Theory and Methods,Education with Theory and Methods,3
Sociology,AQA,3,Quantitative and Qualitative Methods,Theory and Methods,1
Sociology,AQA,3,Research Design,Theory and Methods,2
Sociology,AQA,3,Data Sources: Questionnaires and Interviews,Theory and Methods,3
Sociology,AQA,3,Data Sources: Observation and Experiments,Theory and Methods,4
Sociology,AQA,3,Data Sources: Documents and Official Statistics,Theory and Methods,5
Sociology,AQA,3,Primary vs. Secondary Data,Theory and Methods,6
Sociology,AQA,3,Quantitative vs. Qualitative Data,Theory and Methods,7
Sociology,AQA,3,"Positivism, Interpretivism and Methods",Theory and Methods,8
Sociology,AQA,3,The Nature of 'Social Facts',Theory and Methods,9
Sociology,AQA,3,"Research Considerations: Theoretical, Practical, Ethical",Theory and Methods,10
Sociology,AQA,3,Consensus and Conflict Theories,Theory and Methods,11
Sociology,AQA,3,Structural and Social Action Theories,Theory and Methods,12
Sociology,AQA,3,"Modernity, Post-modernity and Theory",Theory and Methods,13
Sociology,AQA,3,Sociology as a Science,Theory and Methods,14
Sociology,AQA,3,The Relationship Between Theory and Methods,Theory and Methods,15
Sociology,AQA,3,"Debates on Subjectivity, Objectivity and Value Freedom",Theory and Methods,16
Sociology,AQA,3,Sociology and Social Policy,Theory and Methods,17
Sociology,AQA,1,Topics in Sociology,,2
Sociology,AQA,2,Culture and Identity,Topics in Sociology,1
Sociology,AQA,3,Conceptions of Culture,Culture and Identity,1
Sociology,AQA,3,The Socialisation Process,Culture and Identity,2
Sociology,AQA,3,Agencies of Socialisation,Culture and Identity,3
Sociology,AQA,3,Social Construction of Self and Identity,Culture and Identity,4
Sociology,AQA,3,"Identity: Age, Disability and Ethnicity",Culture and Identity,5
Sociology,AQA,3,"Identity: Gender, Nationality, Sexuality and Class",Culture and Identity,6
Sociology,AQA,3,"Identity, Production and Consumption",Culture and Identity,7
Sociology,AQA,3,Identity and Globalisation,Culture and Identity,8
Sociology,AQA,2,Families and Households,Topics in Sociology,2
Sociology,AQA,3,"The Family, Social Structure and Social Change",Families and Households,1
Sociology,AQA,3,Changing Patterns in Relationships,Families and Households,2
Sociology,AQA,3,Personal Life and Family Diversity,Families and Households,3
Sociology,AQA,3,Gender Roles and Domestic Labour,Families and Households,4
Sociology,AQA,3,Power Relationships in the Family,Families and Households,5
Sociology,AQA,3,The Nature and Changing Status of Childhood,Families and Households,6
Sociology,AQA,3,"Demographic Trends: Births, Deaths and Family Size",Families and Households,7
